"year","state","sex","births"
1991,"NJ","girl",58284
1992,"NJ","girl",58086
1993,"NJ","girl",56715
1994,"NJ","girl",56107
1995,"NJ","girl",55378
1996,"NJ","girl",54157
1997,"NJ","girl",53616
1998,"NJ","girl",53333
1999,"NJ","girl",53956
2000,"NJ","girl",54667
2001,"NJ","girl",53898
2002,"NJ","girl",54705
2003,"NJ","girl",55619
2004,"NJ","girl",56450
2005,"NJ","girl",54078
2006,"NJ","girl",53086
1981,"NM","girl",13144
1982,"NM","girl",13444
1983,"NM","girl",13619
1984,"NM","girl",13367
1985,"NM","girl",13617
1986,"NM","girl",13487
1987,"NM","girl",13282
1988,"NM","girl",13219
1989,"NM","girl",13231
1990,"NM","girl",13311
1991,"NM","girl",13424
1992,"NM","girl",13590
1993,"NM","girl",13488
1994,"NM","girl",13256
1995,"NM","girl",13146
1996,"NM","girl",12999
1997,"NM","girl",13068
1998,"NM","girl",13010
1999,"NM","girl",13059
2000,"NM","girl",13102
2001,"NM","girl",13150
2002,"NM","girl",13362
2003,"NM","girl",13601
2004,"NM","girl",13723
2005,"NM","girl",14278
2006,"NM","girl",14234
1981,"NV","girl",6720
1982,"NV","girl",7117
1983,"NV","girl",7293
1984,"NV","girl",7217
1985,"NV","girl",7563
1986,"NV","girl",7729
1987,"NV","girl",8007
1988,"NV","girl",8531
1989,"NV","girl",9235
1990,"NV","girl",10195
1991,"NV","girl",10580
1992,"NV","girl",10462
1993,"NV","girl",10680
1994,"NV","girl",11380
1995,"NV","girl",11969
1996,"NV","girl",12346
1997,"NV","girl",12885
1998,"NV","girl",13461
1999,"NV","girl",13983
2000,"NV","girl",14375
2001,"NV","girl",15254
2002,"NV","girl",15843
2003,"NV","girl",16202
2004,"NV","girl",17113
2005,"NV","girl",17762
2006,"NV","girl",18862
1981,"NY","girl",118128
1982,"NY","girl",118248
1983,"NY","girl",118442
1984,"NY","girl",116423
1985,"NY","girl",120575
1986,"NY","girl",122259
1987,"NY","girl",123705
1988,"NY","girl",126874
1989,"NY","girl",131678
1990,"NY","girl",137369
1991,"NY","girl",138756
1992,"NY","girl",137653
1993,"NY","girl",133831
1994,"NY","girl",130857
1995,"NY","girl",127504
1996,"NY","girl",122546
1997,"NY","girl",119692
1998,"NY","girl",117831
1999,"NY","girl",118715
2000,"NY","girl",120098
2001,"NY","girl",122341
2002,"NY","girl",120333
2003,"NY","girl",120597
2004,"NY","girl",121400
2005,"NY","girl",119186
2006,"NY","girl",119456
1981,"OH","girl",82318
1982,"OH","girl",81775
1983,"OH","girl",80534
1984,"OH","girl",77721
1985,"OH","girl",78647
1986,"OH","girl",77735
1987,"OH","girl",76845
1988,"OH","girl",77447
1989,"OH","girl",78973
1990,"OH","girl",79927
1991,"OH","girl",78418
1992,"OH","girl",78498
1993,"OH","girl",76260
1994,"OH","girl",74975
1995,"OH","girl",74056
1996,"OH","girl",73137
1997,"OH","girl",73527
1998,"OH","girl",72743
1999,"OH","girl",72481
2000,"OH","girl",73373
2001,"OH","girl",75531
2002,"OH","girl",72580
2003,"OH","girl",72398
2004,"OH","girl",72959
2005,"OH","girl",71347
2006,"OH","girl",72115
1981,"OK","girl",25723
1982,"OK","girl",26681
1983,"OK","girl",27752
1984,"OK","girl",27015
1985,"OK","girl",27365
1986,"OK","girl",26576
1987,"OK","girl",25319
1988,"OK","girl",24011
1989,"OK","girl",23357
1990,"OK","girl",23000
1991,"OK","girl",22896
1992,"OK","girl",22885
1993,"OK","girl",22077
1994,"OK","girl",21696
1995,"OK","girl",21499
1996,"OK","girl",21771
1997,"OK","girl",22717
1998,"OK","girl",23048
1999,"OK","girl",22969
2000,"OK","girl",23199
2001,"OK","girl",23430
2002,"OK","girl",23998
2003,"OK","girl",23869
2004,"OK","girl",24277
2005,"OK","girl",24945
2006,"OK","girl",26110
1981,"OR","girl",21576
1982,"OR","girl",21312
1983,"OR","girl",20754
1984,"OR","girl",19843
1985,"OR","girl",19857
1986,"OR","girl",19391
1987,"OR","girl",18971
1988,"OR","girl",19072
1989,"OR","girl",19655
1990,"OR","girl",20797
1991,"OR","girl",20266
1992,"OR","girl",20068
1993,"OR","girl",19632
1994,"OR","girl",19939
1995,"OR","girl",20427
1996,"OR","girl",20563
1997,"OR","girl",21033
1998,"OR","girl",21184
1999,"OR","girl",21374
2000,"OR","girl",21745
2001,"OR","girl",22256
2002,"OR","girl",22009
2003,"OR","girl",22412
2004,"OR","girl",21871
2005,"OR","girl",22259
2006,"OR","girl",23132
1981,"PA","girl",77860
1982,"PA","girl",77914
1983,"PA","girl",77368
1984,"PA","girl",74990
1985,"PA","girl",76559
1986,"PA","girl",77017
1987,"PA","girl",76978
1988,"PA","girl",78030
1989,"PA","girl",79969
1990,"PA","girl",81756
1991,"PA","girl",79594
1992,"PA","girl",78861
1993,"PA","girl",76678
1994,"PA","girl",74666
1995,"PA","girl",72701
1996,"PA","girl",70148
1997,"PA","girl",69456
1998,"PA","girl",68816
1999,"PA","girl",68814
2000,"PA","girl",69802
2001,"PA","girl",71560
2002,"PA","girl",69874
2003,"PA","girl",70709
2004,"PA","girl",71300
2005,"PA","girl",70316
2006,"PA","girl",70590
1981,"RI","girl",6014
1982,"RI","girl",6085
1983,"RI","girl",6099
1984,"RI","girl",5986
1985,"RI","girl",6238
1986,"RI","girl",6392
1987,"RI","girl",6547
1988,"RI","girl",6752
1989,"RI","girl",6981
1990,"RI","girl",7264
1991,"RI","girl",7132
1992,"RI","girl",7061
1993,"RI","girl",6896
1994,"RI","girl",6607
1995,"RI","girl",6471
1996,"RI","girl",6355
1997,"RI","girl",6251
1998,"RI","girl",6037
1999,"RI","girl",6032
2000,"RI","girl",6068
2001,"RI","girl",6027
2002,"RI","girl",5996
2003,"RI","girl",6224
2004,"RI","girl",6387
2005,"RI","girl",6032
2006,"RI","girl",6075
1981,"SC","girl",25039
1982,"SC","girl",25144
1983,"SC","girl",24948
1984,"SC","girl",24400
1985,"SC","girl",25027
1986,"SC","girl",25151
1987,"SC","girl",25205
1988,"SC","girl",25683
1989,"SC","girl",26689
1990,"SC","girl",27052
1991,"SC","girl",27310
1992,"SC","girl",26760
1993,"SC","girl",25684
1994,"SC","girl",24884
1995,"SC","girl",24424
1996,"SC","girl",24459
1997,"SC","girl",24998
1998,"SC","girl",25522
1999,"SC","girl",26108
2000,"SC","girl",26760
2001,"SC","girl",27538
2002,"SC","girl",27170
2003,"SC","girl",27081
2004,"SC","girl",27639
2005,"SC","girl",28202
2006,"SC","girl",29104
1981,"SD","girl",6506
1982,"SD","girl",6512
1983,"SD","girl",6435
1984,"SD","girl",6203
1985,"SD","girl",6218
1986,"SD","girl",6007
1987,"SD","girl",5765
1988,"SD","girl",5642
1989,"SD","girl",5522
1990,"SD","girl",5391
1991,"SD","girl",5145
1992,"SD","girl",5199
1993,"SD","girl",5029
1994,"SD","girl",4925
1995,"SD","girl",4864
1996,"SD","girl",4860
1997,"SD","girl",4846
1998,"SD","girl",4791
1999,"SD","girl",4868
2000,"SD","girl",5002
2001,"SD","girl",5013
2002,"SD","girl",5022
2003,"SD","girl",5178
2004,"SD","girl",5468
2005,"SD","girl",5580
2006,"SD","girl",5603
1981,"TN","girl",33982
1982,"TN","girl",33777
1983,"TN","girl",33042
1984,"TN","girl",31860
1985,"TN","girl",32204
1986,"TN","girl",32090
1987,"TN","girl",32064
1988,"TN","girl",32839
1989,"TN","girl",33943
1990,"TN","girl",34778
1991,"TN","girl",35140
1992,"TN","girl",35188
1993,"TN","girl",34666
1994,"TN","girl",34717
1995,"TN","girl",34677
1996,"TN","girl",34443
1997,"TN","girl",35125
1998,"TN","girl",35793
1999,"TN","girl",36401
2000,"TN","girl",37070
2001,"TN","girl",38782
2002,"TN","girl",38120
2003,"TN","girl",38578
2004,"TN","girl",38958
2005,"TN","girl",39371
2006,"TN","girl",40385
1981,"TX","girl",131813
1982,"TX","girl",137498
1983,"TX","girl",140052
1984,"TX","girl",138854
1985,"TX","girl",144127
1986,"TX","girl",145543
1987,"TX","girl",143522
1988,"TX","girl",142048
1989,"TX","girl",141843
1990,"TX","girl",145640
1991,"TX","girl",151846
1992,"TX","girl",153616
1993,"TX","girl",152997
1994,"TX","girl",152942
1995,"TX","girl",153550
1996,"TX","girl",155635
1997,"TX","girl",157576
1998,"TX","girl",160264
1999,"TX","girl",162519
2000,"TX","girl",164762
2001,"TX","girl",179322
2002,"TX","girl",179673
2003,"TX","girl",184663
2004,"TX","girl",185902
2005,"TX","girl",187005
2006,"TX","girl",194306
1981,"UT","girl",21383
1982,"UT","girl",21369
1983,"UT","girl",21040
1984,"UT","girl",19841
1985,"UT","girl",19535
1986,"UT","girl",18808
1987,"UT","girl",18114
1988,"UT","girl",17524
1989,"UT","girl",17259
1990,"UT","girl",17467
1991,"UT","girl",17190
1992,"UT","girl",17518
1993,"UT","girl",17697
1994,"UT","girl",18216
1995,"UT","girl",18890
1996,"UT","girl",19656
1997,"UT","girl",20575
1998,"UT","girl",20996
1999,"UT","girl",21433
2000,"UT","girl",21900
2001,"UT","girl",22972
2002,"UT","girl",23260
2003,"UT","girl",23804
2004,"UT","girl",24619
2005,"UT","girl",24099
2006,"UT","girl",25293
1981,"VA","girl",38314
1982,"VA","girl",38797
1983,"VA","girl",38956
1984,"VA","girl",38358
1985,"VA","girl",40007
1986,"VA","girl",40966
1987,"VA","girl",42075
1988,"VA","girl",43511
1989,"VA","girl",45344
1990,"VA","girl",46895
1991,"VA","girl",46373
1992,"VA","girl",46035
1993,"VA","girl",44984
1994,"VA","girl",44484
1995,"VA","girl",43858
1996,"VA","girl",43271
1997,"VA","girl",43637
1998,"VA","girl",44006
1999,"VA","girl",44849
2000,"VA","girl",45911
2001,"VA","girl",48287
2002,"VA","girl",48219
2003,"VA","girl",49120
2004,"VA","girl",50066
2005,"VA","girl",50350
2006,"VA","girl",51184
1981,"VT","girl",3792
1982,"VT","girl",3816
1983,"VT","girl",3825
1984,"VT","girl",3754
1985,"VT","girl",3862
1986,"VT","girl",3875
1987,"VT","girl",3885
1988,"VT","girl",3928
1989,"VT","girl",4003
1990,"VT","girl",4130
1991,"VT","girl",3799
1992,"VT","girl",3646
1993,"VT","girl",3494
1994,"VT","girl",3418
1995,"VT","girl",3266
1996,"VT","girl",3151
1997,"VT","girl",3079
1998,"VT","girl",3011
1999,"VT","girl",3028
2000,"VT","girl",3073
2001,"VT","girl",3290
2002,"VT","girl",3187
2003,"VT","girl",3190
2004,"VT","girl",3176
2005,"VT","girl",3049
2006,"VT","girl",3039
1981,"WA","girl",34090
1982,"WA","girl",34428
1983,"WA","girl",34314
1984,"WA","girl",33376
1985,"WA","girl",34398
1986,"WA","girl",34370
1987,"WA","girl",34435
1988,"WA","girl",35226
1989,"WA","girl",36535
1990,"WA","girl",38837
1991,"WA","girl",38504
1992,"WA","girl",38455
1993,"WA","girl",37443
1994,"WA","girl",37083
1995,"WA","girl",36912
1996,"WA","girl",36713
1997,"WA","girl",37472
1998,"WA","girl",37786
1999,"WA","girl",37644
2000,"WA","girl",38232
2001,"WA","girl",38931
2002,"WA","girl",38203
2003,"WA","girl",38461
2004,"WA","girl",39722
2005,"WA","girl",39507
2006,"WA","girl",42198
1981,"WI","girl",36863
1982,"WI","girl",36724
1983,"WI","girl",35970
1984,"WI","girl",34837
1985,"WI","girl",35477
1986,"WI","girl",35370
1987,"WI","girl",35028
1988,"WI","girl",35170
1989,"WI","girl",35548
1990,"WI","girl",36082
1991,"WI","girl",33848
1992,"WI","girl",33193
1993,"WI","girl",32003
1994,"WI","girl",31117
1995,"WI","girl",30248
1996,"WI","girl",29386
1997,"WI","girl",29124
1998,"WI","girl",29934
1999,"WI","girl",32051
2000,"WI","girl",33152
2001,"WI","girl",34043
2002,"WI","girl",34037
2003,"WI","girl",34164
2004,"WI","girl",34580
2005,"WI","girl",33712
2006,"WI","girl",34874
1981,"WV","girl",14484
1982,"WV","girl",14074
1983,"WV","girl",13578
1984,"WV","girl",12682
1985,"WV","girl",12303
1986,"WV","girl",11781
1987,"WV","girl",11200
1988,"WV","girl",10800
1989,"WV","girl",10593
1990,"WV","girl",10512
1991,"WV","girl",10587
1992,"WV","girl",10659
1993,"WV","girl",10446
1994,"WV","girl",10270
1995,"WV","girl",10235
1996,"WV","girl",9965
1997,"WV","girl",9913
1998,"WV","girl",9812
1999,"WV","girl",9882
2000,"WV","girl",10007
2001,"WV","girl",10143
2002,"WV","girl",10141
2003,"WV","girl",10306
2004,"WV","girl",10344
2005,"WV","girl",9832
2006,"WV","girl",10006
1981,"WY","girl",5304
1982,"WY","girl",5452
1983,"WY","girl",5485
1984,"WY","girl",5155
1985,"WY","girl",5041
1986,"WY","girl",4771
1987,"WY","girl",4293
1988,"WY","girl",3855
1989,"WY","girl",3561
1990,"WY","girl",3424
1991,"WY","girl",3210
1992,"WY","girl",3164
1993,"WY","girl",3078
1994,"WY","girl",3049
1995,"WY","girl",2991
1996,"WY","girl",3008
1997,"WY","girl",2968
1998,"WY","girl",2910
1999,"WY","girl",2892
2000,"WY","girl",2941
2001,"WY","girl",3014
2002,"WY","girl",3084
2003,"WY","girl",3291
2004,"WY","girl",3279
2005,"WY","girl",3428
2006,"WY","girl",3427
